conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.76674E+18,Sun Mar 10 08:14:48 +0000 2024,0,Siapa yang belum coba roti milk bun dari Thailand yang lagi viral ini? Bea Cukai Soekarno-Hatta bersama Badan Pengawas Obat dan Makanan atau BPOM memusnahkan 2.564 buah roti milk bun asal Thailand. Menurut kalian? #milkbun https://t.co/Bm4nhaLbX3,1.76674E+18,https://pbs.twimg.com/ext_tw_video_thumb/1766727141784428544/pu/img/7GRkvMpEE_p9Djlr.jpg,,in,Jakarta,1,0,0,https://twitter.com/holopiscom/status/1766739469938671760,1.3664E+18,holopiscom
1.76646E+18,Sun Mar 10 08:09:02 +0000 2024,0,@Jicouns Xr beacukai kak,1.76674E+18,,Jicouns,in,"Pasuruan, Jawa Timur",0,0,0,https://twitter.com/Savdaa_/status/1766738017589559796,1.28017E+18,Savdaa_
1.7665E+18,Sun Mar 10 08:08:33 +0000 2024,0,@percy_alleline 11 128 beacukai. Bisa cod kak,1.76674E+18,,percyalleline,in,"Pasuruan, Jawa Timur",0,0,0,https://twitter.com/Savdaa_/status/1766737894889443764,1.28017E+18,Savdaa_
1.76673E+18,Sun Mar 10 08:06:49 +0000 2024,0,@Jicouns xr 128gb beacukai kali melar,1.76674E+18,,Jicouns,in,,0,1,0,https://twitter.com/ihzaraihann/status/1766737459176775907,1.32492E+18,ihzaraihann
1.76673E+18,Sun Mar 10 08:04:27 +0000 2024,1,@gadingnstn Bea Cukai engineer,1.76674E+18,,gadingnstn,in,,0,0,0,https://twitter.com/rumitawa/status/1766736864667639947,1.20222E+18,rumitawa
1.76674E+18,Sun Mar 10 08:04:24 +0000 2024,0,Ribuan Boks After You Milk Bun Khas Thailand Dimusnahkan di Bea Cukai Soekarno-Hatta Dibakar di Mesin Insinerator https://t.co/Eg7hBFUD3u,1.76674E+18,,,in,"Pulo Gadung, Indonesia",0,0,0,https://twitter.com/tvOneNews/status/1766736851107491989,55507370,tvOneNews
1.76673E+18,Sun Mar 10 07:49:02 +0000 2024,0,Ini alasan Bea Cukai musnahkan ribuan boks roti 'after you milk bun' https://t.co/CljjHwFzvy,1.76673E+18,,,in,"Jl. RTA Milono Km 2,5 Palangka",0,0,0,https://twitter.com/Antara_Kalteng/status/1766732982659027283,2421788773,Antara_Kalteng
1.76673E+18,Sun Mar 10 07:36:33 +0000 2024,2,Badan POM (BPOM) bersama Bea Cukai Soekarno-Hatta musnahkan 1 ton roti milk bun asal Thailand senilai Rp 400 juta. #bisnisupdate #bisnis #update #text https://t.co/hfqXz7kUkL,1.76673E+18,,,in,,0,2,0,https://twitter.com/kumparan/status/1766729841653756276,7.59693E+17,kumparan
1.76665E+18,Sun Mar 10 07:03:34 +0000 2024,0,@rsyarief @prasetya2233 @msaid_didu Mengatur apa? Ya mengatur apapun contohnya ada ppnbm agar mengatur supaya masyarakt tidak terlalu banyak membeli barang mewah cukai untuk mengatur agar pembelian alkohol rokok dsb dpt dikurangi bea masuk agar mengurangi impor dll. Jadi tidak ada yg namanya mengatur inflasi,1.76672E+18,,urname167,in,,0,2,0,https://twitter.com/urname167/status/1766721543042977858,1.44454E+18,urname167
1.76649E+18,Sun Mar 10 07:03:25 +0000 2024,0,@vicaoct Waduh nanti disita bea cukai wkwkwk,1.76672E+18,,vicaoct,in,"Tokyo-to, Japan",0,1,0,https://twitter.com/chocobee29/status/1766721506590294415,162674167,chocobee29
1.76672E+18,Sun Mar 10 06:53:01 +0000 2024,2,Milk Bun asal Thailand sejumlah 2.564 (1 ton) dimusnahkan Bea Cukai Soekarno-Hatta bersama Badan Pengawas Obat (BPOM) pada Jumat (8/3). https://t.co/HDXwXdWUUu #suaramerdeka #suaramerdekacom #promedia #milkbun #milkbunthailand #beacuka #1ton #dimusnahkan #izinbpom #bpom #viral https://t.co/LHGY6jDfm7,1.76672E+18,https://pbs.twimg.com/media/GISlUOrbcAANUSJ.jpg,,in,indonesia,1,1,0,https://twitter.com/suaramerdeka/status/1766718885896851811,219527452,suaramerdeka
1.76669E+18,Sun Mar 10 06:49:08 +0000 2024,0,@shinyvtws 8 8 nih 13 128gb beacukai,1.76672E+18,,shinyvtws,in,,0,0,0,https://twitter.com/ihzaraihann/status/1766717909374505335,1.32492E+18,ihzaraihann
1.76641E+18,Sun Mar 10 06:24:44 +0000 2024,0,@FOODFESS2 wkwkw serius di hancurin? pernah semobil pas pulkam sama pegawai bea cukai dia bilang barang yang disita itu di konsumsi pribadi atau ga di bagi-bagi ke temen atau sodara,1.76671E+18,,FOODFESS2,in,"Jambi, Indonesia",0,0,0,https://twitter.com/uz_miranda/status/1766711768410366021,1.29641E+18,uz_miranda
1.7667E+18,Sun Mar 10 05:58:35 +0000 2024,0,Pendaftaran Bea Cukai ini resmi sesuai dengan prosedur Menkominfo dan Imigrasi Bea Cukai.,1.76671E+18,,unblockimeijkt,in,"Jakarta Capital Region, Indone",0,1,0,https://twitter.com/unblockimeijkt/status/1766705186972766555,1.22346E+18,unblockimeijkt
1.7667E+18,Sun Mar 10 05:55:16 +0000 2024,0,akhirnya pc ku keluar bea cukai jg ‍,1.7667E+18,,,in,62,0,1,0,https://twitter.com/svngcart/status/1766704352205672813,1.71626E+18,svngcart
1.7667E+18,Sun Mar 10 05:43:36 +0000 2024,3,Bea dan Cukai tegaskan milk bun yang disita tidak ada yang dimakan petugas. Makanan ini bisa berbahaya karena tak ada izin BPOM. #bisnisupdate #update #bisnis #text https://t.co/zlXlHT7Xn5,1.7667E+18,,,in,,1,1,3,https://twitter.com/kumparan/status/1766701416700354595,7.59693E+17,kumparan
1.7667E+18,Sun Mar 10 05:32:00 +0000 2024,0,Bea cukai tolong sepatu ku di keluarin dong. Aku udh nunggu satu bulan lebih lho,1.7667E+18,,,in,,0,1,0,https://twitter.com/satrioharyono/status/1766698500727926810,441865422,satrioharyono
1.7667E+18,Sun Mar 10 05:18:32 +0000 2024,1,1 Ton Roti Viral Milk Bun dari Thailand Senilai Rp 400 Juta Dimusnahkan Bea Cukai Apa Sebabnya? https://t.co/L358YaQ9hJ #TempoBisnis,1.7667E+18,,,in,Indonesia,0,0,0,https://twitter.com/tempodotco/status/1766695111029874968,18129942,tempodotco
1.76669E+18,Sun Mar 10 04:59:23 +0000 2024,0,@tanyakanrl kalo bea cukai didaftarin yg bener harusnya aman,1.76669E+18,,tanyakanrl,in,,0,0,0,https://twitter.com/tokyo_dope666/status/1766690289635471637,1.27266E+18,tokyo_dope666
1.76669E+18,Sun Mar 10 04:52:47 +0000 2024,35,Bea Cukai Soekarno-Hatta bersama Badan Pengawas Obat dan Makanan (BPOM) memusnahkan 2.564 buah (1 ton) olahan pangan viral roti milk bun asal Thailand bernilai Rp400 jutaan. Semua Roti milk bun itu disita dari hasil 33 penindakan terhadap bawaan penumpang di Bandara https://t.co/5VO791i3fm,1.76669E+18,https://pbs.twimg.com/ext_tw_video_thumb/1766688281587236864/pu/img/nBcjDCxUafj6uZJx.jpg,,in,,15,11,8,https://twitter.com/RadioElshinta/status/1766688631207661573,121640063,RadioElshinta
1.76669E+18,Sun Mar 10 04:52:04 +0000 2024,1,tanyarl kira² kalo iphone udh kedaftar di beacukai gini masih bisa kena blokir ga ya? https://t.co/pY8NmEQniu,1.76669E+18,https://pbs.twimg.com/media/GISJx6bbcAACqAa.jpg,,in,Indonesia,2,3,0,https://twitter.com/tanyakanrl/status/1766688451464953873,1.33165E+18,tanyakanrl
1.76669E+18,Sun Mar 10 04:51:52 +0000 2024,0,Ribuan Roti Milk Bun Viral Dari Thailand Dimusnahkan Bea Cukai Ungkapkan Setidaknya setara 1 Ton https://t.co/PAusUw7MJC,1.76669E+18,,,in,,0,0,0,https://twitter.com/hariini2024/status/1766688399640170671,1.67827E+18,hariini2024
